duration loss = 0.345 | prior loss = 1.268 | diffusion loss =0.114 | Total loss = 1.727
duration loss = 0.345 | prior loss = 1.269 | diffusion loss =0.113 | Total loss = 1.7269999999999999
duration loss = 0.345 | prior loss = 1.268 | diffusion loss =0.111 | Total loss = 1.724
duration loss = 0.345 | prior loss = 1.268 | diffusion loss =0.111 | Total loss = 1.724
duration loss = 0.345 | prior loss = 1.268 | diffusion loss =0.11 | Total loss = 1.723
duration loss = 0.344 | prior loss = 1.267 | diffusion loss =0.114 | Total loss = 1.7249999999999999
duration loss = 0.345 | prior loss = 1.267 | diffusion loss =0.109 | Total loss = 1.7209999999999999
duration loss = 0.344 | prior loss = 1.267 | diffusion loss =0.113 | Total loss = 1.7239999999999998
duration loss = 0.343 | prior loss = 1.267 | diffusion loss =0.115 | Total loss = 1.7249999999999999
duration loss = 0.344 | prior loss = 1.267 | diffusion loss =0.109 | Total loss = 1.7199999999999998
duration loss = 0.344 | prior loss = 1.267 | diffusion loss =0.11 | Total loss = 1.7209999999999999
duration loss = 0.344 | prior loss = 1.266 | diffusion loss =0.109 | Total loss = 1.7189999999999999
duration loss = 0.343 | prior loss = 1.266 | diffusion loss =0.113 | Total loss = 1.722
duration loss = 0.343 | prior loss = 1.267 | diffusion loss =0.111 | Total loss = 1.7209999999999999
duration loss = 0.343 | prior loss = 1.265 | diffusion loss =0.113 | Total loss = 1.7209999999999999
duration loss = 0.343 | prior loss = 1.266 | diffusion loss =0.111 | Total loss = 1.72
duration loss = 0.343 | prior loss = 1.265 | diffusion loss =0.112 | Total loss = 1.72
duration loss = 0.343 | prior loss = 1.266 | diffusion loss =0.11 | Total loss = 1.719
duration loss = 0.343 | prior loss = 1.266 | diffusion loss =0.111 | Total loss = 1.72
duration loss = 0.343 | prior loss = 1.265 | diffusion loss =0.112 | Total loss = 1.72
duration loss = 0.342 | prior loss = 1.265 | diffusion loss =0.11 | Total loss = 1.717
duration loss = 0.342 | prior loss = 1.265 | diffusion loss =0.111 | Total loss = 1.718
duration loss = 0.342 | prior loss = 1.265 | diffusion loss =0.111 | Total loss = 1.718
duration loss = 0.342 | prior loss = 1.264 | diffusion loss =0.108 | Total loss = 1.7140000000000002
duration loss = 0.341 | prior loss = 1.264 | diffusion loss =0.113 | Total loss = 1.718
duration loss = 0.342 | prior loss = 1.264 | diffusion loss =0.115 | Total loss = 1.721
duration loss = 0.341 | prior loss = 1.264 | diffusion loss =0.115 | Total loss = 1.72
duration loss = 0.341 | prior loss = 1.264 | diffusion loss =0.113 | Total loss = 1.718
duration loss = 0.341 | prior loss = 1.264 | diffusion loss =0.112 | Total loss = 1.717
duration loss = 0.341 | prior loss = 1.264 | diffusion loss =0.112 | Total loss = 1.717
duration loss = 0.341 | prior loss = 1.263 | diffusion loss =0.111 | Total loss = 1.7149999999999999
duration loss = 0.34 | prior loss = 1.263 | diffusion loss =0.112 | Total loss = 1.715
duration loss = 0.34 | prior loss = 1.263 | diffusion loss =0.109 | Total loss = 1.712
duration loss = 0.34 | prior loss = 1.262 | diffusion loss =0.111 | Total loss = 1.713
duration loss = 0.34 | prior loss = 1.263 | diffusion loss =0.11 | Total loss = 1.713
duration loss = 0.34 | prior loss = 1.263 | diffusion loss =0.113 | Total loss = 1.716
duration loss = 0.34 | prior loss = 1.262 | diffusion loss =0.111 | Total loss = 1.713
duration loss = 0.34 | prior loss = 1.262 | diffusion loss =0.109 | Total loss = 1.711
duration loss = 0.34 | prior loss = 1.263 | diffusion loss =0.106 | Total loss = 1.709
duration loss = 0.339 | prior loss = 1.261 | diffusion loss =0.112 | Total loss = 1.712
duration loss = 0.34 | prior loss = 1.262 | diffusion loss =0.11 | Total loss = 1.7120000000000002
duration loss = 0.339 | prior loss = 1.261 | diffusion loss =0.112 | Total loss = 1.712
duration loss = 0.34 | prior loss = 1.262 | diffusion loss =0.116 | Total loss = 1.7180000000000002
duration loss = 0.339 | prior loss = 1.262 | diffusion loss =0.111 | Total loss = 1.712
duration loss = 0.339 | prior loss = 1.261 | diffusion loss =0.11 | Total loss = 1.71
duration loss = 0.339 | prior loss = 1.261 | diffusion loss =0.112 | Total loss = 1.712
duration loss = 0.338 | prior loss = 1.26 | diffusion loss =0.109 | Total loss = 1.707
duration loss = 0.338 | prior loss = 1.261 | diffusion loss =0.112 | Total loss = 1.711
duration loss = 0.339 | prior loss = 1.26 | diffusion loss =0.111 | Total loss = 1.71
duration loss = 0.339 | prior loss = 1.262 | diffusion loss =0.113 | Total loss = 1.714
duration loss = 0.337 | prior loss = 1.261 | diffusion loss =0.112 | Total loss = 1.71
duration loss = 0.337 | prior loss = 1.26 | diffusion loss =0.113 | Total loss = 1.71
duration loss = 0.338 | prior loss = 1.26 | diffusion loss =0.112 | Total loss = 1.7100000000000002
duration loss = 0.338 | prior loss = 1.26 | diffusion loss =0.109 | Total loss = 1.707
duration loss = 0.338 | prior loss = 1.26 | diffusion loss =0.111 | Total loss = 1.709
duration loss = 0.338 | prior loss = 1.26 | diffusion loss =0.11 | Total loss = 1.7080000000000002
duration loss = 0.338 | prior loss = 1.26 | diffusion loss =0.111 | Total loss = 1.709
duration loss = 0.338 | prior loss = 1.26 | diffusion loss =0.11 | Total loss = 1.7080000000000002
duration loss = 0.337 | prior loss = 1.259 | diffusion loss =0.111 | Total loss = 1.7069999999999999
duration loss = 0.338 | prior loss = 1.259 | diffusion loss =0.115 | Total loss = 1.712
duration loss = 0.337 | prior loss = 1.259 | diffusion loss =0.109 | Total loss = 1.7049999999999998
duration loss = 0.336 | prior loss = 1.259 | diffusion loss =0.11 | Total loss = 1.705
duration loss = 0.337 | prior loss = 1.258 | diffusion loss =0.112 | Total loss = 1.707
duration loss = 0.338 | prior loss = 1.258 | diffusion loss =0.111 | Total loss = 1.707
duration loss = 0.338 | prior loss = 1.258 | diffusion loss =0.109 | Total loss = 1.705
duration loss = 0.337 | prior loss = 1.258 | diffusion loss =0.112 | Total loss = 1.707
duration loss = 0.337 | prior loss = 1.258 | diffusion loss =0.112 | Total loss = 1.707
duration loss = 0.338 | prior loss = 1.258 | diffusion loss =0.109 | Total loss = 1.705
duration loss = 0.338 | prior loss = 1.259 | diffusion loss =0.115 | Total loss = 1.712
duration loss = 0.338 | prior loss = 1.259 | diffusion loss =0.112 | Total loss = 1.709
duration loss = 0.338 | prior loss = 1.258 | diffusion loss =0.111 | Total loss = 1.707
duration loss = 0.337 | prior loss = 1.258 | diffusion loss =0.111 | Total loss = 1.706
duration loss = 0.337 | prior loss = 1.257 | diffusion loss =0.11 | Total loss = 1.704
duration loss = 0.337 | prior loss = 1.257 | diffusion loss =0.11 | Total loss = 1.704
duration loss = 0.337 | prior loss = 1.258 | diffusion loss =0.111 | Total loss = 1.706
duration loss = 0.337 | prior loss = 1.258 | diffusion loss =0.113 | Total loss = 1.708
duration loss = 0.336 | prior loss = 1.257 | diffusion loss =0.111 | Total loss = 1.704
duration loss = 0.337 | prior loss = 1.258 | diffusion loss =0.112 | Total loss = 1.707
duration loss = 0.337 | prior loss = 1.257 | diffusion loss =0.11 | Total loss = 1.704
duration loss = 0.337 | prior loss = 1.257 | diffusion loss =0.11 | Total loss = 1.704
duration loss = 0.336 | prior loss = 1.257 | diffusion loss =0.111 | Total loss = 1.704
duration loss = 0.336 | prior loss = 1.256 | diffusion loss =0.113 | Total loss = 1.705
duration loss = 0.336 | prior loss = 1.256 | diffusion loss =0.111 | Total loss = 1.703
duration loss = 0.336 | prior loss = 1.256 | diffusion loss =0.111 | Total loss = 1.703
duration loss = 0.337 | prior loss = 1.256 | diffusion loss =0.111 | Total loss = 1.704
duration loss = 0.336 | prior loss = 1.256 | diffusion loss =0.111 | Total loss = 1.703
duration loss = 0.336 | prior loss = 1.256 | diffusion loss =0.109 | Total loss = 1.701
duration loss = 0.336 | prior loss = 1.256 | diffusion loss =0.11 | Total loss = 1.7020000000000002
duration loss = 0.335 | prior loss = 1.256 | diffusion loss =0.111 | Total loss = 1.702
duration loss = 0.336 | prior loss = 1.256 | diffusion loss =0.108 | Total loss = 1.7000000000000002
duration loss = 0.335 | prior loss = 1.255 | diffusion loss =0.109 | Total loss = 1.6989999999999998
duration loss = 0.335 | prior loss = 1.255 | diffusion loss =0.11 | Total loss = 1.7
duration loss = 0.334 | prior loss = 1.255 | diffusion loss =0.111 | Total loss = 1.7
duration loss = 0.335 | prior loss = 1.254 | diffusion loss =0.111 | Total loss = 1.7
duration loss = 0.334 | prior loss = 1.255 | diffusion loss =0.109 | Total loss = 1.698
duration loss = 0.335 | prior loss = 1.255 | diffusion loss =0.112 | Total loss = 1.702
