Epoch 201: duration loss = 0.415 | prior loss = 1.353 | diffusion loss = 0.108| Total loss = 1.875
Epoch 202: duration loss = 0.412 | prior loss = 1.353 | diffusion loss = 0.109| Total loss = 1.874
Epoch 203: duration loss = 0.418 | prior loss = 1.353 | diffusion loss = 0.097| Total loss = 1.868
Epoch 204: duration loss = 0.419 | prior loss = 1.353 | diffusion loss = 0.122| Total loss = 1.894
Epoch 205: duration loss = 0.413 | prior loss = 1.352 | diffusion loss = 0.130| Total loss = 1.895
Epoch 206: duration loss = 0.414 | prior loss = 1.357 | diffusion loss = 0.149| Total loss = 1.920
Epoch 207: duration loss = 0.414 | prior loss = 1.352 | diffusion loss = 0.122| Total loss = 1.888
Epoch 208: duration loss = 0.410 | prior loss = 1.356 | diffusion loss = 0.087| Total loss = 1.853
Epoch 209: duration loss = 0.413 | prior loss = 1.352 | diffusion loss = 0.109| Total loss = 1.874
Epoch 210: duration loss = 0.417 | prior loss = 1.357 | diffusion loss = 0.115| Total loss = 1.889
Epoch 211: duration loss = 0.418 | prior loss = 1.352 | diffusion loss = 0.089| Total loss = 1.859
Epoch 212: duration loss = 0.412 | prior loss = 1.352 | diffusion loss = 0.121| Total loss = 1.886
Epoch 213: duration loss = 0.413 | prior loss = 1.353 | diffusion loss = 0.112| Total loss = 1.878
Epoch 214: duration loss = 0.413 | prior loss = 1.355 | diffusion loss = 0.130| Total loss = 1.898
Epoch 215: duration loss = 0.409 | prior loss = 1.357 | diffusion loss = 0.097| Total loss = 1.863
Epoch 216: duration loss = 0.413 | prior loss = 1.356 | diffusion loss = 0.145| Total loss = 1.914
Epoch 217: duration loss = 0.412 | prior loss = 1.349 | diffusion loss = 0.120| Total loss = 1.881
Epoch 218: duration loss = 0.417 | prior loss = 1.353 | diffusion loss = 0.065| Total loss = 1.835
Epoch 219: duration loss = 0.413 | prior loss = 1.355 | diffusion loss = 0.084| Total loss = 1.853
Epoch 220: duration loss = 0.416 | prior loss = 1.354 | diffusion loss = 0.093| Total loss = 1.863
Epoch 221: duration loss = 0.411 | prior loss = 1.354 | diffusion loss = 0.154| Total loss = 1.918
Epoch 222: duration loss = 0.417 | prior loss = 1.355 | diffusion loss = 0.103| Total loss = 1.875
Epoch 223: duration loss = 0.409 | prior loss = 1.357 | diffusion loss = 0.121| Total loss = 1.888
Epoch 224: duration loss = 0.420 | prior loss = 1.357 | diffusion loss = 0.095| Total loss = 1.871
Epoch 225: duration loss = 0.416 | prior loss = 1.356 | diffusion loss = 0.121| Total loss = 1.893
Epoch 226: duration loss = 0.412 | prior loss = 1.354 | diffusion loss = 0.106| Total loss = 1.871
Epoch 227: duration loss = 0.417 | prior loss = 1.356 | diffusion loss = 0.097| Total loss = 1.870
Epoch 228: duration loss = 0.421 | prior loss = 1.356 | diffusion loss = 0.090| Total loss = 1.867
Epoch 229: duration loss = 0.417 | prior loss = 1.356 | diffusion loss = 0.105| Total loss = 1.877
Epoch 230: duration loss = 0.417 | prior loss = 1.351 | diffusion loss = 0.175| Total loss = 1.943
Epoch 231: duration loss = 0.409 | prior loss = 1.354 | diffusion loss = 0.101| Total loss = 1.863
Epoch 232: duration loss = 0.411 | prior loss = 1.352 | diffusion loss = 0.168| Total loss = 1.930
Epoch 233: duration loss = 0.409 | prior loss = 1.352 | diffusion loss = 0.124| Total loss = 1.885
Epoch 234: duration loss = 0.414 | prior loss = 1.357 | diffusion loss = 0.126| Total loss = 1.896
Epoch 235: duration loss = 0.409 | prior loss = 1.356 | diffusion loss = 0.108| Total loss = 1.872
